Frente (Gatilho/Cenário),Verso (Ferramenta Correta)
"Função dos Interactive Steps no Flow Orchestration","Interação do usuário entre passos automatizados [cite: 801, 802]"
"Lidar com RPA User Task que demora 24h no Composer","Criar um segundo fluxo do Composer (assíncrono) [cite: 822]"
"Mudar texto para Boolean no Composer","Função fromStringToBoolean() [cite: 842]"
"Compartilhar API estritamente para uso interno na organização","Private Exchange portal [cite: 859, 860]"
"Agrupar Stages no Orchestrator","Baseado em passagens de bastão (hand-offs) ou ramificações lógicas [cite: 876, 877]"
"Cuidado com código autogerado pelo RPA Recorder","Substituir passos frágeis e remover dados sensíveis [cite: 897, 899]"
"Componente que de fato aplica (enforcing) as políticas de API","API Gateway [cite: 930]"
"Formatos de download de API REST no Exchange","RAML e OAS [cite: 943]"
"Publicar um esqueleto de projeto base no Exchange","Template asset (MuleSoft application template) [cite: 963, 1033]"
"Estratégia com Control Plane na MuleSoft e Runtime no Cliente","Hybrid [cite: 995]"
"Atribuir tarefa (Work Item) para qualquer membro de uma equipe","Criar um Group no Salesforce e atribuir a ele [cite: 1054, 1056]"
"Mapear endereço composto do Salesforce para lista no NetSuite","Custom expression no Composer [cite: 1078]"
"Grupo que avalia e gerencia o ciclo de vida do RPA","Center of Excellence (CoE) [cite: 1115, 1116]"
"Escopo do Connected App para conectar RPA Manager ao Anypoint","RPA Integrator [cite: 1128]"
"Passo final no Composer para inserir dados recebidos do RPA no CRM","Create or Update Record action [cite: 1145, 1146]"
"Data transformation / Integração feita por non-technical user (usuário de negócios)","MuleSoft Composer"
"Long running workflows / Processos com manual steps and approvals (Aprovações longas)","Flow Orchestration"
"Automating UI interactions / Automação usando image recognition (Reconhecimento de imagem)","MuleSoft RPA"
"Especificação exigida para importar serviços externos no Salesforce Flow","Open API specifications (OAS/Swagger)"
"Diferença de especificação: MuleSoft Design Center vs. Salesforce External Services","Design Center usa RAML; External Services exige Open API"
"Funcionalidade no Salesforce que utiliza o arquivo Open API para criar ações invocáveis no Flow","External Services"
"Método nativo de notificação de erro no MuleSoft Composer além da própria interface","Envio de alerta para o endereço de e-mail configurado"
"Local principal na interface do Composer para visualizar falhas de execução","Página 'Flow Details'"
"O Composer notifica falhas nativamente via postagens no Chatter?","Não, o envio de notificação padrão é para o e-mail"
"Número mínimo de fluxos no Composer para criar uma sincronização bidirecional entre dois sistemas","2 fluxos (um monitorando a Origem A para o Destino B, e outro de B para A)"
"Ferramenta do Salesforce para automatizar um processo longo e de múltiplas etapas (multi-step process) executado por um único usuário","Flow Orchestration (usando Stages e Steps)"
"Por que um Autolaunched Flow comum não é a melhor opção para um processo multi-etapas com inputs de usuário?","Porque o Flow Orchestration organiza o processo de ponta a ponta de forma estruturada, unindo inputs humanos e automações de backend"
"O que o RPA Recorder captura automaticamente ao gravar uma atividade manual na tela?","A documentação dos elementos da interface (UI) usados pelo usuário, como IDs, tipos e posições"
"O RPA Recorder captura automaticamente decisões condicionais (lógica de negócio) da mente do usuário?","Não, ele captura apenas as interações com a interface, cliques, teclas e tempos de espera"
