Frente_PT,Verso_PT,Frente_EN,Verso_EN
"O que o RPA Recorder captura automaticamente","Documentação de UI, keystrokes, wait times e screenshots","What the RPA Recorder captures automatically","UI documentation, keystrokes, wait times, and screenshots"
"Significado do Losango com 'X' no BPMN do RPA","Exclusive Gateway (Ponto de decisão lógica)","Meaning of the Diamond with an 'X' in RPA BPMN","Exclusive Gateway (Logical decision point)"
"Onde os Test Plans do RPA são efetivamente executados","Em um RPA Bot configurado","Where RPA Test Plans are actually executed","On a configured RPA Bot"
"Primeiro passo prático para criar uma nova API","RAML definition no Design Center","First practical step to create a new API","RAML definition in Design Center"
"Compartilhar um 'esqueleto de projeto' com outras equipes da empresa","Template asset no Anypoint Exchange","Share a 'project skeleton' with other company teams","Template asset in Anypoint Exchange"
"Política para limitar requisições de um cliente específico/individual","Rate Limiting - SLA-Based","Policy to limit requests from a specific/individual client","Rate Limiting - SLA-Based"
"Estratégia de Deploy na AWS (nuvem própria) com zero-downtime","Runtime Fabric (RTF)","Deployment strategy on AWS (own cloud) with zero-downtime","Runtime Fabric (RTF)"
"Escopo do Connected App para conectar o RPA ao Anypoint","RPA Integrator","Connected App scope to connect RPA to Anypoint","RPA Integrator"
"Importar API externa no Salesforce Flow","Open API specifications (OAS/Swagger) [cite: 25, 26]","Import external API into Salesforce Flow","Open API specifications (OAS/Swagger)"
"Notificações de erro no Composer (além da tela Flow Details)","Endereço de e-mail configurado [cite: 41, 42]","Composer error notifications (besides the Flow Details screen)","Configured email address"
"Sincronização bidirecional entre duas orgs no Composer","No mínimo 2 fluxos [cite: 60, 61, 62]","Bidirectional sync between two orgs in Composer","Minimum of 2 flows"
"Processo multi-etapas para um usuário no Salesforce","Flow Orchestration (Stages e Steps) [cite: 79, 80]","Multi-step process for a user in Salesforce","Flow Orchestration (Stages and Steps)"
"O que o RPA Recorder captura automaticamente?","Documentação dos elementos, keystrokes e wait times [cite: 101, 1018]","What does the RPA Recorder capture automatically?","Documentation of elements, keystrokes, and wait times"
"Criar testes automatizados integrados (ex: MUnit)","Anypoint Platform [cite: 119, 120]","Create integrated automated tests (e.g., MUnit)","Anypoint Platform"
"Ação obrigatória antes de testar fluxos no Composer","Conectar gatilho e ações a uma Sandbox [cite: 135, 137]","Mandatory action before testing flows in Composer","Connect trigger and actions to a Sandbox"
"Primeiro passo prático para criar uma nova API","Criar definição RAML no Design Center [cite: 157]","First practical step to create a new API","Create RAML definition in Design Center"
"Exibir mensagem após usuário errar pergunta no Einstein Bot","Opção de diálogo: Message [cite: 172, 173]","Display message after user answers a question incorrectly in Einstein Bot","Dialog option: Message"
"Debugar falha de RPA em Produção","Baixar Analysis Package e importar no RPA Builder [cite: 192, 194]","Debug RPA failure in Production","Download Analysis Package and import into RPA Builder"
"Camada da API-led que agrega e transforma dados","Process API [cite: 379, 380]","API-led layer that aggregates and transforms data","Process API"
"Estratégia de deploy na AWS com zero-downtime","Runtime Fabric (RTF) [cite: 240, 241]","Deployment strategy on AWS with zero-downtime","Runtime Fabric (RTF)"
"Testes agendados para verificar status da API e banco de dados","API Functional Monitoring [cite: 1093, 1094]","Scheduled tests to verify API and database status","API Functional Monitoring"
"Evitar limites de DML no Flow Builder","Usar Collection variables (fora de For Loops) [cite: 283, 284]","Avoid DML limits in Flow Builder","Use Collection variables (outside of For Loops)"
"Passos para conectar Flow a API externa","Named Credentials > External Services > Action element [cite: 399, 400, 401]","Steps to connect Flow to an external API","Named Credentials > External Services > Action element"
"Compartilhar API no portal público do Exchange","Configurar o 'visibility level' como public [cite: 419]","Share API on the public Exchange portal","Set the 'visibility level' to public"
"Transferência de dados entre orgs + workflow longo de multi-usuários","MuleSoft Composer + Flow Orchestration [cite: 432, 433]","Data transfer between orgs + long multi-user workflow","MuleSoft Composer + Flow Orchestration"
"Atualizar Conta relacionada quando um Pedido for concluído","Record-triggered flow no objeto Order [cite: 481]","Update related Account when an Order is completed","Record-triggered flow on the Order object"
"Qualificadores para um processo ser candidato a RPA","Rule-based (regras) e Data-driven (dados) [cite: 499]","Qualifiers for a process to be an RPA candidate","Rule-based and Data-driven"
"Transformar dados de sistema fonte para destino (usuário não-técnico)","MuleSoft Composer [cite: 517, 518]","Transform data from source to target system (non-technical user)","MuleSoft Composer"
"Proteger e expor APIs não-MuleSoft de forma rápida","Criar um proxy na frente de cada API [cite: 531]","Quickly protect and expose non-MuleSoft APIs","Create a proxy in front of each API"
"Prevenir sobrecarga do RPA por rajadas de tráfego","Spike Control [cite: 572, 573]","Prevent RPA overload from traffic spikes","Spike Control"
"Rotear casos para 3+ equipes diferentes no Composer","Componente Switch/Case [cite: 589, 590]","Route cases to 3+ different teams in Composer","Switch/Case component"
"Migração de ETL (Integrações Simples vs. Complexas)","Composer (Simples) e Anypoint Platform (Complexas) [cite: 653]","ETL Migration (Simple vs. Complex Integrations)","Composer (Simple) and Anypoint Platform (Complex)"
"Agendamentos nativos de tempo no Composer (Schedule)","A cada 5 minutos ou a cada 30 minutos [cite: 674, 675]","Native time scheduling in Composer (Schedule)","Every 5 minutes or every 30 minutes"
"Limitar número de requisições de um cliente individual (Client)","Rate Limiting - SLA-Based [cite: 689, 690]","Limit the number of requests from an individual client","Rate Limiting - SLA-Based"
"Determinar 3 caminhos de saída no Orchestrator","Evaluation flow (número) + Decision element [cite: 713, 714]","Determine 3 exit paths in Orchestrator","Evaluation flow (number) + Decision element"
"Onde os planos de teste (Test Plans) do RPA são executados?","Em um RPA Bot configurado [cite: 732]","Where are the RPA Test Plans executed?","On a configured RPA Bot"
"Integração SOAP bidirecional quase em tempo real","Anypoint Studio [cite: 747, 748, 749]","Near real-time bidirectional SOAP integration","Anypoint Studio"
"Ação para quando um processo agendado em sessão única atrasa","Aguardar a primeira execução ser concluída [cite: 766, 767]","Action for when a single-session scheduled process is delayed","Wait for the first execution to complete"
"Função dos Interactive Steps no Flow Orchestration","Interação do usuário entre passos automatizados [cite: 801, 802]","Role of Interactive Steps in Flow Orchestration","User interaction between automated steps"
"Lidar com RPA User Task que demora 24h no Composer","Criar um segundo fluxo do Composer (assíncrono) [cite: 822]","Handle RPA User Task that takes 24h in Composer","Create a second Composer flow (asynchronous)"
"Mudar texto para Boolean no Composer","Função fromStringToBoolean() [cite: 842]","Change text to Boolean in Composer","fromStringToBoolean() function"
"Compartilhar API estritamente para uso interno na organização","Private Exchange portal [cite: 859, 860]","Share API strictly for internal use in the organization","Private Exchange portal"
"Agrupar Stages no Orchestrator","Baseado em passagens de bastão (hand-offs) ou ramificações lógicas [cite: 876, 877]","Group Stages in Orchestrator","Based on hand-offs or logical branches"
"Cuidado com código autogerado pelo RPA Recorder","Substituir passos frágeis e remover dados sensíveis [cite: 897, 899]","Caution with auto-generated code from RPA Recorder","Replace fragile steps and remove sensitive data"
"Componente que de fato aplica (enforcing) as políticas de API","API Gateway [cite: 930]","Component that actually applies (enforces) API policies","API Gateway"
"Formatos de download de API REST no Exchange","RAML e OAS [cite: 943]","Download formats for REST API in Exchange","RAML and OAS"
"Publicar um esqueleto de projeto base no Exchange","Template asset (MuleSoft application template) [cite: 963, 1033]","Publish a base project skeleton in Exchange","Template asset (MuleSoft application template)"
"Estratégia com Control Plane na MuleSoft e Runtime no Cliente","Hybrid [cite: 995]","Strategy with Control Plane on MuleSoft and Runtime on Client","Hybrid"
"Atribuir tarefa (Work Item) para qualquer membro de uma equipe","Criar um Group no Salesforce e atribuir a ele [cite: 1054, 1056]","Assign task (Work Item) to any team member","Create a Group in Salesforce and assign it to them"
"Mapear endereço composto do Salesforce para lista no NetSuite","Custom expression no Composer [cite: 1078]","Map Salesforce compound address to list in NetSuite","Custom expression in Composer"
"Grupo que avalia e gerencia o ciclo de vida do RPA","Center of Excellence (CoE) [cite: 1115, 1116]","Group that evaluates and manages the RPA lifecycle","Center of Excellence (CoE)"
"Escopo do Connected App para conectar RPA Manager ao Anypoint","RPA Integrator [cite: 1128]","Connected App scope to connect RPA Manager to Anypoint","RPA Integrator"
"Passo final no Composer para inserir dados recebidos do RPA no CRM","Create or Update Record action [cite: 1145, 1146]","Final step in Composer to insert data received from RPA into CRM","Create or Update Record action"
"Data transformation / Integração feita por non-technical user (usuário de negócios)","MuleSoft Composer","Data transformation / Integration by a non-technical user","MuleSoft Composer"
"Long running workflows / Processos com manual steps and approvals (Aprovações longas)","Flow Orchestration","Long running workflows / Processes with manual steps and approvals","Flow Orchestration"
"Automating UI interactions / Automação usando image recognition (Reconhecimento de imagem)","MuleSoft RPA","Automating UI interactions / Automation using image recognition","MuleSoft RPA"
"Especificação exigida para importar serviços externos no Salesforce Flow","Open API specifications (OAS/Swagger)","Specification required to import external services into Salesforce Flow","Open API specifications (OAS/Swagger)"
"Diferença de especificação: MuleSoft Design Center vs. Salesforce External Services","Design Center usa RAML; External Services exige Open API","Specification difference: MuleSoft Design Center vs. Salesforce External Services","Design Center uses RAML; External Services requires Open API"
"Funcionalidade no Salesforce que utiliza o arquivo Open API para criar ações invocáveis no Flow","External Services","Salesforce feature that uses the Open API file to create invocable actions in the Flow","External Services"
"Método nativo de notificação de erro no MuleSoft Composer além da própria interface","Envio de alerta para o endereço de e-mail configurado","Native error notification method in MuleSoft Composer besides the interface itself","Send alert to the configured email address"
"Local principal na interface do Composer para visualizar falhas de execução","Página 'Flow Details'","Main location in the Composer interface to view execution failures","'Flow Details' page"
"O Composer notifica falhas nativamente via postagens no Chatter?","Não, o envio de notificação padrão é para o e-mail","Does Composer natively notify failures via Chatter posts?","No, the default notification is sent via email"
"Número mínimo de fluxos no Composer para criar uma sincronização bidirecional entre dois sistemas","2 fluxos (um monitorando a Origem A para o Destino B, e outro de B para A)","Minimum number of flows in Composer to create bidirectional sync between two systems","2 flows (one monitoring Source A to Target B, and another from B to A)"
"Ferramenta do Salesforce para automatizar um processo longo e de múltiplas etapas (multi-step process) executado por um único usuário","Flow Orchestration (usando Stages e Steps)","Salesforce tool to automate a long multi-step process executed by a single user","Flow Orchestration (using Stages and Steps)"
"Por que um Autolaunched Flow comum não é a melhor opção para um processo multi-etapas com inputs de usuário?","Porque o Flow Orchestration organiza o processo de ponta a ponta de forma estruturada, unindo inputs humanos e automações de backend","Why is a standard Autolaunched Flow not the best option for a multi-step process with user inputs?","Because Flow Orchestration organizes the end-to-end process in a structured way, combining human inputs and backend automations"
"O que o RPA Recorder captura automaticamente ao gravar uma atividade manual na tela?","A documentação dos elementos da interface (UI) usados pelo usuário, como IDs, tipos e posições","What does the RPA Recorder automatically capture when recording a manual screen activity?","Documentation of the UI elements used by the user, such as IDs, types, and positions"
"O RPA Recorder captura automaticamente decisões condicionais (lógica de negócio) da mente do usuário?","Não, ele captura apenas as interações com a interface, cliques, teclas e tempos de espera","Does the RPA Recorder automatically capture conditional decisions (business logic) from the user's mind?","No, it only captures interactions with the interface, clicks, keys, and wait times"
