Frente_PT,Verso_PT,Frente_EN,Verso_EN
"Grupo que avalia e gerencia o ciclo de vida do RPA","Center of Excellence (CoE)","Group that evaluates and manages the RPA lifecycle","Center of Excellence (CoE)"
"O que o RPA Recorder captura automaticamente","Documentação dos elementos da interface (UI), keystrokes e wait times","What the RPA Recorder captures automatically","Documentation of UI elements, keystrokes, and wait times"
"O RPA Recorder captura automaticamente decisões condicionais (lógica de negócio)?","Não, ele captura apenas as interações com a interface, cliques, teclas e tempos de espera","Does the RPA Recorder automatically capture conditional decisions (business logic)?","No, it only captures interactions with the interface, clicks, keys, and wait times"
"Significado do Losango com 'X' no BPMN do RPA","Exclusive Gateway (Ponto de decisão lógica)","Meaning of the Diamond with an 'X' in RPA BPMN","Exclusive Gateway (Logical decision point)"
"Onde os planos de teste (Test Plans) do RPA são executados?","Em um RPA Bot configurado","Where are the RPA Test Plans executed?","On a configured RPA Bot"
"Primeiro passo prático para criar uma nova API","RAML definition no Design Center","First practical step to create a new API","RAML definition in Design Center"
"Publicar um esqueleto de projeto base no Exchange","Template asset (MuleSoft application template)","Publish a base project skeleton in Exchange","Template asset (MuleSoft application template)"
"Política para limitar requisições de um cliente individual (Client)","Rate Limiting - SLA-Based","Policy to limit requests from an individual client","Rate Limiting - SLA-Based"
"Estratégia de deploy na AWS com zero-downtime","Runtime Fabric (RTF)","Deployment strategy on AWS with zero-downtime","Runtime Fabric (RTF)"
"Escopo do Connected App para conectar RPA Manager ao Anypoint","RPA Integrator","Connected App scope to connect RPA Manager to Anypoint","RPA Integrator"
"Notificações de erro no Composer (além da tela Flow Details)","Envio de alerta para o endereço de e-mail configurado","Composer error notifications (besides the Flow Details screen)","Send alert to the configured email address"
"O Composer notifica falhas nativamente via postagens no Chatter?","Não, o envio de notificação padrão é para o e-mail","Does Composer natively notify failures via Chatter posts?","No, the default notification is sent via email"
"Criar testes automatizados integrados (ex: MUnit)","Anypoint Platform","Create integrated automated tests (e.g., MUnit)","Anypoint Platform"
"Exibir mensagem após usuário errar pergunta no Einstein Bot","Opção de diálogo: Message","Display message after user answers a question incorrectly in Einstein Bot","Dialog option: Message"
"Debugar falha de RPA em Produção","Baixar Analysis Package e importar no RPA Builder","Debug RPA failure in Production","Download Analysis Package and import into RPA Builder"
"Camada da API-led que agrega e transforma dados","Process API","API-led layer that aggregates and transforms data","Process API"
"Testes agendados para verificar status da API e banco de dados","API Functional Monitoring","Scheduled tests to verify API and database status","API Functional Monitoring"
"Compartilhar API no portal público do Exchange","Configurar o 'visibility level' como public","Share API on the public Exchange portal","Set the 'visibility level' to public"
"Transferência de dados entre orgs + workflow longo de multi-usuários","MuleSoft Composer + Flow Orchestration","Data transfer between orgs + long multi-user workflow","MuleSoft Composer + Flow Orchestration"
"Atualizar Conta relacionada quando um Pedido for concluído","Record-triggered flow no objeto Order","Update related Account when an Order is completed","Record-triggered flow on the Order object"
"Data transformation / Integração feita por non-technical user (usuário de negócios)","MuleSoft Composer","Data transformation / Integration by a non-technical user","MuleSoft Composer"
"Proteger e expor APIs não-MuleSoft de forma rápida","Criar um proxy na frente de cada API","Quickly protect and expose non-MuleSoft APIs","Create a proxy in front of each API"
"Prevenir sobrecarga do RPA por rajadas de tráfego","Spike Control","Prevent RPA overload from traffic spikes","Spike Control"
"Migração de ETL (Integrações Simples vs. Complexas)","Composer (Simples) e Anypoint Platform (Complexas)","ETL Migration (Simple vs. Complex Integrations)","Composer (Simple) and Anypoint Platform (Complex)"
"Integração SOAP bidirecional quase em tempo real","Anypoint Studio","Near real-time bidirectional SOAP integration","Anypoint Studio"
"Ação para quando um processo agendado em sessão única atrasa","Aguardar a primeira execução ser concluída","Action for when a single-session scheduled process is delayed","Wait for the first execution to complete"
"Função dos Interactive Steps no Flow Orchestration","Interação do usuário entre passos automatizados","Role of Interactive Steps in Flow Orchestration","User interaction between automated steps"
"Lidar com RPA User Task que demora 24h no Composer","Criar um segundo fluxo do Composer (assíncrono)","Handle RPA User Task that takes 24h in Composer","Create a second Composer flow (asynchronous)"
"Compartilhar API estritamente para uso interno na organização","Private Exchange portal","Share API strictly for internal use in the organization","Private Exchange portal"
"Cuidado com código autogerado pelo RPA Recorder","Substituir passos frágeis e remover dados sensíveis","Caution with auto-generated code from RPA Recorder","Replace fragile steps and remove sensitive data"
"Componente que de fato aplica (enforcing) as políticas de API","API Gateway","Component that actually applies (enforces) API policies","API Gateway"
"Formatos de download de API REST no Exchange","RAML e OAS","Download formats for REST API in Exchange","RAML and OAS"
"Estratégia com Control Plane na MuleSoft e Runtime no Cliente","Hybrid","Strategy with Control Plane on MuleSoft and Runtime on Client","Hybrid"
"Diferença de especificação: MuleSoft Design Center vs. Salesforce External Services","Design Center usa RAML; External Services exige Open API","Specification difference: MuleSoft Design Center vs. Salesforce External Services","Design Center uses RAML; External Services requires Open API"
"Funcionalidade no Salesforce que utiliza o arquivo Open API para criar ações invocáveis no Flow","External Services","Salesforce feature that uses the Open API file to create invocable actions in the Flow","External Services"
"Por que um Autolaunched Flow comum não é a melhor opção para um processo multi-etapas com inputs de usuário?","Porque o Flow Orchestration organiza o processo de ponta a ponta de forma estruturada, unindo inputs humanos e automações de backend","Why is a standard Autolaunched Flow not the best option for a multi-step process with user inputs?","Because Flow Orchestration organizes the end-to-end process in a structured way, combining human inputs and backend automations"
