Frente_PT,Verso_PT,Frente_EN,Verso_EN
"Sistemas: O que são Legacy Systems (Sistemas Legados)?","Sistemas antigos (como mainframes) que continuam sendo usados pelo negócio, mas geralmente não possuem APIs, sendo os principais alvos do RPA.","Systems: What are Legacy Systems?","Old systems (like mainframes) still used by the business, which usually lack APIs, making them primary targets for RPA."
"Testes de API: O que é a prática de Mocking?","É a simulação de respostas de uma API para permitir que testes e desenvolvimentos paralelos ocorram antes do backend real estar construído.","API Testing: What is the practice of Mocking?","It is the simulation of API responses to allow parallel testing and development before the real backend is built."
"Engenharia: Em design de software, o que é Coupling (Acoplamento)?","O grau de dependência entre módulos. A melhor prática é buscar o 'baixo acoplamento' (loose coupling) para facilitar a manutenção.","Engineering: In software design, what is Coupling?","The degree of dependency between modules. The best practice is aiming for 'loose coupling' for easier maintenance."
"Mensageria: Como funciona o padrão Pub/Sub (Publish/Subscribe)?","Um padrão assíncrono onde um publicador envia mensagens para um tópico, e múltiplos inscritos (subscribers) reagem a essa mensagem de forma independente.","Messaging: How does the Pub/Sub (Publish/Subscribe) pattern work?","An async pattern where a publisher sends messages to a topic, and multiple subscribers react to that message independently."
"Mensageria: Qual a diferença entre Fire-and-Forget vs. Sync/Async?","Fire-and-forget é assíncrono (envia e não espera resposta). Síncrono (Sync) bloqueia o sistema aguardando a resposta antes de prosseguir.","Messaging: What is the difference between Fire-and-Forget vs. Sync/Async?","Fire-and-forget is async (sends and doesn't wait for a response). Synchronous (Sync) blocks the system waiting for the response before proceeding."
"Arquitetura: O que é uma Arquitetura Orientada a Eventos (EDA)?","Padrão onde integrações e automações são disparadas por mudanças de estado ou eventos de negócio (ex: 'Uma nova oportunidade foi fechada').","Architecture: What is an Event-Driven Architecture (EDA)?","Pattern where integrations and automations are triggered by state changes or business events (e.g., 'A new opportunity was closed')."
"Conceito: O que significa Resilience (Resiliência) em sistemas distribuídos?","A capacidade de um sistema continuar operando ou se recuperar rapidamente de falhas (ex: usando Circuit Breakers ou retries).","Concept: What does Resilience mean in distributed systems?","The ability of a system to continue operating or quickly recover from failures (e.g., using Circuit Breakers or retries)."
"Falhas: O que é uma Dead Letter Queue (DLQ)?","Uma fila de mensageria especial usada para armazenar mensagens que não puderam ser processadas ou roteadas com sucesso após várias tentativas.","Failures: What is a Dead Letter Queue (DLQ)?","A special messaging queue used to store messages that could not be processed or routed successfully after multiple attempts."
"Falhas: O que é Retry Logic (Lógica de Retentativa)?","Um padrão que tenta executar uma ação falha novamente após um período, geralmente usado para resolver Exceções Técnicas (Technical Exceptions).","Failures: What is Retry Logic?","A pattern that attempts to execute a failed action again after a period, generally used to resolve Technical Exceptions."
"Falhas: O que são Compensating Transactions (Transações Compensatórias)?","Um padrão usado para desfazer ou reverter os passos que já foram concluídos quando uma falha ocorre no meio de uma transação de múltiplas etapas.","Failures: What are Compensating Transactions?","A pattern used to undo or revert steps that have already been completed when a failure occurs in the middle of a multi-step transaction."
"Engenharia: O que é o princípio DRY (Don't Repeat Yourself)?","Prática que visa reduzir a repetição de código ou lógica (na MuleSoft, é resolvido publicando ativos reutilizáveis no Anypoint Exchange).","Engineering: What is the DRY (Don't Repeat Yourself) principle?","Practice aimed at reducing code or logic repetition (in MuleSoft, resolved by publishing reusable assets in Anypoint Exchange)."
"MuleSoft: O que é a arquitetura API-Led Connectivity?","Abordagem que divide a arquitetura em três camadas reutilizáveis (System, Process, Experience) para evitar integrações ponto-a-ponto frágeis.","MuleSoft: What is the API-Led Connectivity architecture?","Approach that divides the architecture into three reusable layers (System, Process, Experience) to avoid fragile point-to-point integrations."
"Arquitetura: O que é o padrão N-Tier (Multicamadas)?","Arquitetura de software dividida em camadas físicas ou lógicas (apresentação, lógica, dados) para separar e isolar responsabilidades.","Architecture: What is the N-Tier (Multilayer) pattern?","Software architecture divided into physical or logical layers (presentation, logic, data) to separate and isolate responsibilities."
"API-Led: Qual é o papel da System Layer?","Camada fundacional que acessa diretamente os sistemas de registro (backend, ERPs, DBs), isolando e ocultando a complexidade desses sistemas.","API-Led: What is the role of the System Layer?","Foundational layer that directly accesses systems of record (backend, ERPs, DBs), isolating and hiding the complexity of these systems."
"Engenharia: Qual é a função do padrão DAO (Data Access Object) ou Infrastructure Interface?","Abstrair e encapsular todo o acesso aos dados (banco de dados), separando estritamente essas consultas da lógica central do negócio.","Engineering: What is the function of the DAO (Data Access Object) or Infrastructure Interface pattern?","To abstract and encapsulate all data access (database), strictly separating these queries from the core business logic."
"API-Led: Qual é a responsabilidade da Process Layer?","Orquestrar, agregar dados de múltiplos sistemas e aplicar a Lógica de Negócio central. É onde a 'inteligência' da integração vive.","API-Led: What is the responsibility of the Process Layer?","Orchestrate, aggregate data from multiple systems, and apply the core Business Logic. It is where the 'intelligence' of the integration lives."
"Engenharia: O que é a Service Layer / Business Logic?","A camada de software (na MuleSoft, geralmente a Process API) dedicada a processar cálculos, regras e validações de negócios.","Engineering: What is the Service Layer / Business Logic?","The software layer (in MuleSoft, usually the Process API) dedicated to processing business calculations, rules, and validations."
"API-Led: O que a Experience Layer faz?","Pega os dados já processados e os formata/adapta especificamente para as necessidades do canal consumidor final (Web, Mobile, Portal).","API-Led: What does the Experience Layer do?","Takes already processed data and formats/adapts it specifically for the needs of the final consumer channel (Web, Mobile, Portal)."
"Arquitetura: Como o Frontend atua junto com o Controller de API?","O Frontend consome os dados expostos pelo Controller (Experience API), separando a interface visual de como o dado foi buscado no backend.","Architecture: How does the Frontend work with the API Controller?","The Frontend consumes data exposed by the Controller (Experience API), separating the visual interface from how the data was fetched in the backend."
"Tomada de Decisão: Quando priorizar cenários de Low Volume (Baixo Volume)?","Para integrações SaaS rápidas e operações pontuais que não requerem processamento massivo em lote (Ideal para MuleSoft Composer).","Decision Making: When to prioritize Low Volume scenarios?","For quick SaaS integrations and point-in-time operations that do not require massive batch processing (Ideal for MuleSoft Composer)."
"Tomada de Decisão: Qual ferramenta usar para cenários de High Volume (Alto Volume)?","Processamentos na casa de milhares/milhões de registros exigem a robustez e paralelismo da Anypoint Platform (Anypoint Studio).","Decision Making: Which tool to use for High Volume scenarios?","Processing thousands/millions of records demands the robustness and parallelism of the Anypoint Platform (Anypoint Studio)."
"Estimativa: Como funciona o Trade-off entre Speed vs. Complexity (Effort Estimation)?","Composer: Entrega super rápida, mas suporta baixa complexidade. Anypoint/RPA: Suportam alta complexidade técnica, mas exigem maior esforço/tempo de desenvolvimento.","Estimation: How does the Speed vs. Complexity (Effort Estimation) Trade-off work?","Composer: Super fast delivery, but supports low complexity. Anypoint/RPA: Support high technical complexity, but require greater development effort/time."
